,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Age,0.16373119084316543,0.39678232923582923,0.17486640150691315,0.5426993078280674,-0.13255350335961041,-0.5329341230801524,-0.13683443210314172,-0.3879661477968561,-0.14079942761528055
Income,-0.031115727139402305,0.053589801129446224,0.06826524593631156,0.4341803504240011,0.8419085854931905,0.2840539326305283,-0.10712413222911056,0.04360179542440634,-0.010668880089059946
BMI,0.504098509865416,-0.2868391383212867,-0.3653757454009737,0.18749745630038772,-0.06447354443130067,0.07636633088545636,0.0640193439531685,0.15667986371420387,-0.6755128119539991
Waist,0.5499070151431656,-0.20353676472106305,-0.27469649356556064,0.24497127742156508,-0.062118599994369916,0.00699288227876993,0.01085830382463883,-0.010278654409706156,0.7187313791662379
Triglycerides,0.3622082799520807,-0.0609253147464453,0.5611684244308305,-0.16747000147141217,0.20771424914473322,-0.21655266637830495,0.647767870681115,0.11123595585906941,-0.010961168288388168
Creatinine,0.08510124360298281,0.237778599704695,0.347697138132675,0.30308636098012376,-0.4222539880825836,0.7249008443413123,0.13530419372703684,-0.034262180286881716,-0.014271908258735408
HDL,-0.3579013656991128,0.24201195450204,-0.49212372340389693,0.27114454265992805,-0.02454285379184465,-0.05466867587875393,0.6972232915993393,0.0730829166855458,0.05078638895578662
SYS_BP,0.23721325883548766,0.6496079243444841,-0.07871512678879196,-0.14127970921433558,0.012536320127869427,-0.07010315239005693,-0.18269573621560112,0.675224873051447,0.034719080119757356
DIA_BP,0.3048119063491547,0.4185417692507597,-0.267617017677546,-0.45652141116600636,0.2083285704821856,0.22166294092334948,0.09042062716095978,-0.5900083426503061,-0.05532481600087831
