,Factor1,Factor2,Factor3,Factor4
Age,0.08699599819882115,0.10556097966158787,-0.02752528140477811,0.9881069580390204
Income,-0.013843825657460819,-0.022482006300371275,0.043663543679172606,0.05878674818803433
BMI,0.8681794133961387,0.04185330920500689,-0.14357190810619208,-0.079444350129283
Waist,0.9602472206686727,0.08903768721435444,-0.20140153851949114,0.06614572989777931
Triglycerides,0.15327315837554922,0.08568810064458854,-0.4653055822202104,0.0884363518430643
Creatinine,-0.01458550073007489,0.09957264038673422,-0.07156336900879362,0.14647437539335073
HDL,-0.12360556628598955,0.01980840511708715,0.9863196456277519,0.09075988234233016
SYS_BP,-0.037604173764883744,0.9473765511320679,-0.024429048835858454,0.30098766619012135
DIA_BP,0.141756927303766,0.6631860577384697,-0.07161030298859813,-0.0926021955711507
