,count,mean,std,min,25%,50%,75%,max,Skewness,Kurtosis
Age,2453.0,-1.0283027769866921e-16,1.0002038943848264,-1.7624472302326266,-0.8495677611248835,0.0633117079828596,0.747971309813667,1.66085077892141,-0.0007471600954385184,-1.1020661419478317
Income,2453.0,-2.0566055539733841e-16,1.0002038943848324,-2.550661066844504,-0.6885307479246379,-0.0305026071207096,0.921365924869012,1.3739239881119687,-0.2789429994677089,-0.6018939870307127
BMI,2453.0,1.6655608359643605e-16,1.000203894384828,-2.0836010133519425,-0.6909063693085313,-0.1621982174031621,0.4825678215058245,7.2010299469374655,1.2340805608455496,2.81801458214125
Waist,2453.0,-2.2883357572379907e-16,1.0002038943848264,-2.566528788937651,-0.6786671443634764,-0.0905482519727678,0.6034320410482682,4.496779108674759,0.5539318004572804,0.5360152038233559
Triglycerides,2453.0,1.4363651817979603e-15,1.0002038943848282,-2.482242862397669,-0.6923056290107258,-0.0823303101185954,0.6028578383169121,4.90860217796538,0.5679237715639718,0.744264327427711
Creatinine,2453.0,-7.09673747497858e-17,1.0002038943848273,-1.0928759965198216,-0.3797226801519137,-0.1148371626438336,0.1907999729424126,24.132375593865035,14.03849109126632,273.332778133279
HDL,2453.0,-2.100054967085498e-16,1.000203894384831,-3.2661701346240077,-0.717851006051269,-0.1143017387577256,0.4892475285358176,5.0493975480870334,0.9927871157186138,1.7748249760936372
SYS_BP,2453.0,-4.685295047256266e-16,1.0002038943848273,-2.603960931905504,-0.6450439248952212,-0.1418358863971683,0.4512307304041096,5.069961655189817,1.0643803473238838,2.0220959879455536
DIA_BP,2453.0,6.343614314368608e-16,1.0002038943848308,-3.000013992713037,-0.6373297860096687,-0.031513322752396,0.5440123173420148,5.723743078191703,0.5085734013709586,1.4086292184987363
